mean_test_score,metric_roc_auc,metric_average_precision,mean_fit_time,params,rank_test_scores,status,budgets,param_classifier:__choice__,param_data_preprocessor:__choice__,param_feature_preprocessor:__choice__,param_classifier:IForestClassifier:bootstrap,param_classifier:IForestClassifier:contamination,param_classifier:IForestClassifier:max_features,param_classifier:IForestClassifier:max_samples,param_classifier:IForestClassifier:n_estimators,param_classifier:CBLOFClassifier:alpha,param_classifier:CBLOFClassifier:beta,param_classifier:CBLOFClassifier:contamination,param_classifier:CBLOFClassifier:n_clusters,param_classifier:CBLOFClassifier:use_weights,param_classifier:LOFClassifier:contamination,param_classifier:LOFClassifier:n_neighbors,param_classifier:LOFClassifier:p,param_classifier:COPODClassifier:contamination,param_classifier:KNNClassifier:contamination,param_classifier:KNNClassifier:method,param_classifier:KNNClassifier:n_neighbors,param_classifier:KNNClassifier:p
0.74,0.74,0.6397150876544956,1.7246034145355225,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': True, 'classifier:IForestClassifier:contamination': 0.48000000000000004, 'classifier:IForestClassifier:max_features': 0.98, 'classifier:IForestClassifier:max_samples': 0.31, 'classifier:IForestClassifier:n_estimators': 135}",62,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,True,0.48000000000000004,0.98,0.31,135.0,,,,,,,,,,,,,
0.7748,0.7748,0.6774115602361711,1.3356411457061768,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': False, 'classifier:IForestClassifier:contamination': 0.05, 'classifier:IForestClassifier:max_features': 0.8099999999999999, 'classifier:IForestClassifier:max_samples': 0.30000000000000004, 'classifier:IForestClassifier:n_estimators': 97}",28,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.05,0.8099999999999999,0.30000000000000004,97.0,,,,,,,,,,,,,
0.746,0.746,0.6881236251720184,1.3475017547607422,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': False, 'classifier:IForestClassifier:contamination': 0.1, 'classifier:IForestClassifier:max_features': 1.0, 'classifier:IForestClassifier:max_samples': 1.0, 'classifier:IForestClassifier:n_estimators': 100}",56,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.1,1.0,1.0,100.0,,,,,,,,,,,,,
0.748,0.748,0.7012652195679421,1.065725564956665,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': True, 'classifier:IForestClassifier:contamination': 0.09999999999999999, 'classifier:IForestClassifier:max_features': 0.13, 'classifier:IForestClassifier:max_samples': 0.94, 'classifier:IForestClassifier:n_estimators': 69}",52,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,True,0.09999999999999999,0.13,0.94,69.0,,,,,,,,,,,,,
0.788,0.788,0.7318668546907741,0.7479298114776611,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': False, 'classifier:IForestClassifier:contamination': 0.04, 'classifier:IForestClassifier:max_features': 0.61, 'classifier:IForestClassifier:max_samples': 0.29000000000000004, 'classifier:IForestClassifier:n_estimators': 30}",19,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.04,0.61,0.29000000000000004,30.0,,,,,,,,,,,,,
0.748,0.748,0.6549490936668863,0.897719144821167,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': False, 'classifier:IForestClassifier:contamination': 0.21000000000000002, 'classifier:IForestClassifier:max_features': 0.52, 'classifier:IForestClassifier:max_samples': 0.45000000000000007, 'classifier:IForestClassifier:n_estimators': 43}",52,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.21000000000000002,0.52,0.45000000000000007,43.0,,,,,,,,,,,,,
0.8111999999999999,0.8111999999999999,0.726048508714091,1.6910009384155273,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': False, 'classifier:IForestClassifier:contamination': 0.3, 'classifier:IForestClassifier:max_features': 0.93, 'classifier:IForestClassifier:max_samples': 0.56, 'classifier:IForestClassifier:n_estimators': 143}",3,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,False,0.3,0.93,0.56,143.0,,,,,,,,,,,,,
0.766,0.766,0.6721433811129052,0.7253780364990234,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': True, 'classifier:IForestClassifier:contamination': 0.04, 'classifier:IForestClassifier:max_features': 0.75, 'classifier:IForestClassifier:max_samples': 0.25, 'classifier:IForestClassifier:n_estimators': 27}",38,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,True,0.04,0.75,0.25,27.0,,,,,,,,,,,,,
0.7536,0.7536,0.6994968561874397,1.078561544418335,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': True, 'classifier:IForestClassifier:contamination': 0.46, 'classifier:IForestClassifier:max_features': 0.48, 'classifier:IForestClassifier:max_samples': 0.93, 'classifier:IForestClassifier:n_estimators': 68}",45,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,True,0.46,0.48,0.93,68.0,,,,,,,,,,,,,
0.7776,0.7776,0.685717081881719,1.9690361022949219,"{'classifier:__choice__': 'IForestClassifier', 'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'classifier:IForestClassifier:bootstrap': True, 'classifier:IForestClassifier:contamination': 0.34, 'classifier:IForestClassifier:max_features': 0.61, 'classifier:IForestClassifier:max_samples': 0.58, 'classifier:IForestClassifier:n_estimators': 188}",26,Success,0.0,IForestClassifier,NoPreprocessing,no_preprocessing,True,0.34,0.61,0.58,188.0,,,,,,,,,,,,,
